Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-09-19,17.81,18.08,17.59,18.06,1804900,0.0,0.0
2025-09-18,17.49,17.9,17.29,17.75,558800,0.0,0.0
2025-09-17,16.82,17.32,16.72,17.15,474400,0.0,0.0
2025-09-16,17.36,17.39,16.66,16.87,590200,0.0,0.0
2025-09-15,17.42,17.85,17.04,17.31,652300,0.0,0.0
2025-09-12,16.89,17.21,16.66,17.01,839400,0.0,0.0
2025-09-11,15.87,16.92,15.64,16.86,1198400,0.0,0.0
2025-09-10,15.54,15.99,15.5,15.59,915300,0.0,0.0
2025-09-09,15.14,15.61,15.05,15.5,1000700,0.0,0.0
2025-09-08,14.62,15.24,14.62,15.07,575800,0.0,0.0
2025-09-05,14.93,15.07,14.44,14.62,559800,0.0,0.0
2025-09-04,14.4,14.87,14.22,14.66,651100,0.0,0.0
2025-09-03,14.18,14.62,13.99,14.57,772100,0.0,0.0
2025-09-02,14.18,14.58,13.85,14.21,1078200,0.0,0.0
2025-08-29,15.33,15.52,13.88,14.68,1555300,0.0,0.0
2025-08-28,15.0,16.29,15.0,15.32,2360600,0.0,0.0
2025-08-27,17.1,17.88,16.68,17.57,1995200,0.0,0.0
2025-08-26,15.31,17.1,15.28,16.11,1769300,0.0,0.0
2025-08-25,14.09,14.23,13.84,13.84,362000,0.0,0.0
2025-08-22,13.5,14.35,13.31,14.15,517500,0.0,0.0
2025-08-21,13.54,13.72,13.48,13.54,347300,0.0,0.0
2025-08-20,13.81,13.94,13.31,13.63,446200,0.0,0.0
2025-08-19,14.82,14.88,13.74,13.86,373500,0.0,0.0
2025-08-18,14.13,14.92,14.04,14.82,430000,0.0,0.0
2025-08-15,14.19,14.58,14.07,14.12,377800,0.0,0.0
2025-08-14,14.2,14.3,13.77,14.14,408100,0.0,0.0
2025-08-13,14.7,14.82,14.08,14.4,459600,0.0,0.0
2025-08-12,14.3,14.67,13.92,14.53,424700,0.0,0.0
2025-08-11,15.93,16.22,14.34,14.35,998300,0.0,0.0
2025-08-08,16.44,16.6,15.77,15.97,663000,0.0,0.0
2025-08-07,16.42,16.62,15.57,16.34,742200,0.0,0.0
2025-08-06,16.16,16.46,15.93,16.38,465200,0.0,0.0
2025-08-05,16.86,16.95,16.22,16.3,741200,0.0,0.0
2025-08-04,16.35,16.94,16.35,16.69,812000,0.0,0.0
2025-08-01,16.28,16.46,15.52,16.11,1085600,0.0,0.0
2025-07-31,16.6,16.78,16.08,16.46,519800,0.0,0.0
2025-07-30,16.15,16.81,15.94,16.41,688300,0.0,0.0
2025-07-29,16.22,16.22,15.6,16.06,494400,0.0,0.0
2025-07-28,16.07,16.31,15.71,16.06,397800,0.0,0.0
2025-07-25,16.13,16.28,15.9,15.96,397200,0.0,0.0
2025-07-24,16.2,16.52,15.9,16.13,481800,0.0,0.0
